                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65133,                0.77547,                0.92408,                 1.0489,                 0.9902,                0.92661,                0.98919,                0.86778,                 0.9902,                0.92661,                0.98823,                 0.9376,                0.53477,                0.45804,                  4.785,                0.91915,             0.00065728,             0.00065728,             0.00065728
                      2,                0.66631,                0.51709,                0.55912,                 1.0273,                0.95699,                0.81651,                0.93516,                 0.7076,                0.94624,                0.80734,                0.92591,                0.72753,                0.74084,                 0.8723,                 2.7833,                 1.1486,              0.0013152,              0.0013152,              0.0013152
                      3,                0.63529,                0.50649,                0.53292,                 1.0058,                0.02134,                0.09174,                0.00335,                 0.0006,                0.00925,                 0.0367,                0.00172,                0.00068,                 3.8007,                 0.9791,                 7.6327,                 4.0325,              0.0019643,              0.0019643,              0.0019643
                      4,                0.64466,                0.52271,                0.51751,                 1.0261,                0.39579,                0.50459,                0.31372,                0.09118,                0.34806,                0.31193,                0.23521,                0.05339,                 2.5585,                 5.5468,                 3.3281,                 2.2717,              0.0019604,              0.0019604,              0.0019604
                      5,                0.58845,                 0.4604,                0.46213,                0.99143,                0.95539,                      1,                  0.995,                0.92305,                0.95539,                      1,                  0.995,                 0.9154,                0.49635,                0.20199,                0.75015,                0.75728,              0.0019604,              0.0019604,              0.0019604
                      6,                0.57401,                0.47815,                0.43632,                0.98805,                0.92598,                      1,                0.99023,                0.86976,                0.92598,                      1,                0.99023,                0.93803,                0.43936,                 0.2099,                0.76438,                0.76988,              0.0019472,              0.0019472,              0.0019472
                      7,                0.51784,                0.44089,                0.40769,                 0.9519,                0.99696,                      1,                  0.995,                 0.9096,                0.99696,                      1,                  0.995,                0.97496,                0.44582,                 0.1954,                0.50478,                0.73868,               0.001934,               0.001934,               0.001934
                      8,                 0.5152,                 0.4136,                0.39899,                0.96125,                0.99926,                      1,                  0.995,                0.94128,                0.99926,                      1,                  0.995,                0.96063,                0.42574,                0.15126,                0.48512,                0.72768,              0.0019208,              0.0019208,              0.0019208
                      9,                0.48065,                0.43436,                0.37149,                0.94561,                0.99911,                      1,                  0.995,                0.93226,                0.99911,                      1,                  0.995,                0.94271,                0.38887,                0.17353,                0.34965,                0.73703,              0.0019076,              0.0019076,              0.0019076
                     10,                0.47746,                0.39269,                0.36898,                 0.9409,                0.99946,                      1,                  0.995,                0.93805,                0.99946,                      1,                  0.995,                 0.9949,                0.34131,                0.15945,                0.30057,                0.73009,              0.0018944,              0.0018944,              0.0018944
                     11,                0.46049,                0.39569,                0.35517,                0.92613,                0.99931,                      1,                  0.995,                0.96888,                0.99931,                      1,                  0.995,                0.99481,                0.25643,                0.17119,                0.48215,                0.66417,              0.0018812,              0.0018812,              0.0018812
                     12,                0.45114,                0.39933,                0.33932,                0.93965,                0.99929,                      1,                  0.995,                0.93749,                0.99929,                      1,                  0.995,                0.92983,                0.44658,                0.16867,                0.39247,                0.76324,               0.001868,               0.001868,               0.001868
                     13,                0.44246,                 0.3712,                0.32736,                0.92356,                0.99902,                      1,                  0.995,                0.92667,                0.99902,                      1,                  0.995,                0.86894,                0.59792,                0.15429,                  0.694,                0.81663,              0.0018548,              0.0018548,              0.0018548
                     14,                0.44418,                0.36935,                0.33536,                0.93106,                0.99714,                      1,                  0.995,                0.96071,                0.99714,                      1,                  0.995,                0.99081,                0.31712,                0.17067,                0.35749,                0.69878,              0.0018416,              0.0018416,              0.0018416
                     15,                 0.4388,                0.37484,                0.33377,                0.93572,                0.99929,                      1,                  0.995,                0.94414,                0.99929,                      1,                  0.995,                  0.995,                0.34242,                0.14882,                0.31847,                0.69533,              0.0018284,              0.0018284,              0.0018284
                     16,                0.43486,                0.36473,                0.32387,                0.93273,                0.99924,                      1,                  0.995,                0.93284,                0.99924,                      1,                  0.995,                0.93159,                0.41284,                0.16424,                0.47244,                0.72943,              0.0018152,              0.0018152,              0.0018152
                     17,                0.43262,                0.36865,                0.32562,                0.92558,                0.99939,                      1,                  0.995,                0.93187,                0.99939,                      1,                  0.995,                0.96327,                0.40943,                0.16434,                0.27261,                0.73885,               0.001802,               0.001802,               0.001802
